ONET_SOC_Code,Base_SOC,ONET_Title,FO_Score,FO_Probability,FO_Occupation,Mapping_Method
13-2022.00,13-2022,Appraisers of Personal and Business Property,69.23076923076923,0.6923076923076923,[Group avg: 13-20],group_avg
13-2023.00,13-2023,Appraisers and Assessors of Real Estate,69.23076923076923,0.6923076923076923,[Group avg: 13-20],group_avg
13-2031.00,13-2031,Budget Analysts,94.0,0.94,Budget Analysts,direct
13-2041.00,13-2041,Credit Analysts,98.0,0.98,Credit Analysts,direct
13-2051.00,13-2051,Financial and Investment Analysts,23.0,0.23,Financial Analysts,direct
13-2052.00,13-2052,Personal Financial Advisors,58.0,0.58,Personal Financial Advisors,direct
13-2053.00,13-2053,Insurance Underwriters,99.0,0.99,Insurance Underwriters,direct
13-2054.00,13-2054,Financial Risk Specialists,69.23076923076923,0.6923076923076923,[Group avg: 13-20],group_avg
13-2061.00,13-2061,Financial Examiners,17.0,0.17,Financial Examiners,direct
13-2071.00,13-2071,Credit Counselors,4.0,0.04,Credit Counselors,direct
13-2072.00,13-2072,Loan Officers,98.0,0.98,Loan Officers,direct
13-2081.00,13-2081,"Tax Examiners and Collectors, and Revenue Agents",93.0,0.93,Tax Examiners and Collectors; and Revenue Agents,direct
13-2082.00,13-2082,Tax Preparers,99.0,0.99,Tax Preparers,direct
13-2099.00,13-2099,"Financial Specialists, All Other",33.0,0.33,Financial Specialists; All Other,direct
13-2099.01,13-2099,Financial Quantitative Analysts,33.0,0.33,Financial Specialists; All Other,direct
13-2099.04,13-2099,"Fraud Examiners, Investigators and Analysts",33.0,0.33,Financial Specialists; All Other,direct
15-1211.00,15-1211,Computer Systems Analysts,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1211.01,15-1211,Health Informatics Specialists,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1212.00,15-1212,Information Security Analysts,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1221.00,15-1221,Computer and Information Research Scientists,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1231.00,15-1231,Computer Network Support Specialists,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1232.00,15-1232,Computer User Support Specialists,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1241.00,15-1241,Computer Network Architects,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1241.01,15-1241,Telecommunications Engineering Specialists,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1242.00,15-1242,Database Administrators,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1243.00,15-1243,Database Architects,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1243.01,15-1243,Data Warehousing Specialists,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1244.00,15-1244,Network and Computer Systems Administrators,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1251.00,15-1251,Computer Programmers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1252.00,15-1252,Software Developers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1253.00,15-1253,Software Quality Assurance Analysts and Testers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1254.00,15-1254,Web Developers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1255.00,15-1255,Web and Digital Interface Designers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1255.01,15-1255,Video Game Designers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.00,15-1299,"Computer Occupations, All Other",22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.01,15-1299,Web Administrators,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.02,15-1299,Geographic Information Systems Technologists and Technicians,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.03,15-1299,Document Management Specialists,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.04,15-1299,Penetration Testers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.05,15-1299,Information Security Engineers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.06,15-1299,Digital Forensics Analysts,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.07,15-1299,Blockchain Engineers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.08,15-1299,Computer Systems Engineers/Architects,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-1299.09,15-1299,Information Technology Project Managers,22.10333333333333,0.2210333333333333,[Major group avg: 15],group_avg
15-2011.00,15-2011,Actuaries,21.0,0.21,Actuaries,direct
15-2021.00,15-2021,Mathematicians,4.7,0.047,Mathematicians,direct
15-2031.00,15-2031,Operations Research Analysts,3.5,0.035,Operations Research Analysts,direct
15-2041.00,15-2041,Statisticians,22.0,0.22,Statisticians,direct
15-2041.01,15-2041,Biostatisticians,22.0,0.22,Statisticians,direct
15-2051.00,15-2051,Data Scientists,30.04,0.3004,[Group avg: 15-20],group_avg
15-2051.01,15-2051,Business Intelligence Analysts,30.04,0.3004,[Group avg: 15-20],group_avg
15-2051.02,15-2051,Clinical Data Managers,30.04,0.3004,[Group avg: 15-20],group_avg
15-2099.00,15-2099,"Mathematical Science Occupations, All Other",30.04,0.3004,[Group avg: 15-20],group_avg
15-2099.01,15-2099,Bioinformatics Technicians,30.04,0.3004,[Group avg: 15-20],group_avg
17-1011.00,17-1011,"Architects, Except Landscape and Naval",1.8,0.018,Architects; Except Landscape and Naval,direct
17-1012.00,17-1012,Landscape Architects,4.5,0.045,Landscape Architects,direct
17-1021.00,17-1021,Cartographers and Photogrammetrists,88.0,0.88,Cartographers and Photogrammetrists,direct
17-1022.00,17-1022,Surveyors,38.0,0.38,Surveyors,direct
17-1022.01,17-1022,Geodetic Surveyors,38.0,0.38,Surveyors,direct
17-2011.00,17-2011,Aerospace Engineers,1.7,0.017,Aerospace Engineers,direct
17-2021.00,17-2021,Agricultural Engineers,49.0,0.49,Agricultural Engineers,direct
17-2031.00,17-2031,Bioengineers and Biomedical Engineers,3.7,0.037,Biomedical Engineers,direct
17-2041.00,17-2041,Chemical Engineers,1.7,0.017,Chemical Engineers,direct
17-2051.00,17-2051,Civil Engineers,1.9,0.019,Civil Engineers,direct
17-2051.01,17-2051,Transportation Engineers,1.9,0.019,Civil Engineers,direct
17-2051.02,17-2051,Water/Wastewater Engineers,1.9,0.019,Civil Engineers,direct
17-2061.00,17-2061,Computer Hardware Engineers,22.0,0.22,Computer Hardware Engineers,direct
17-2071.00,17-2071,Electrical Engineers,10.0,0.1,Electrical Engineers,direct
17-2072.00,17-2072,"Electronics Engineers, Except Computer",2.5,0.025,Electronics Engineers; Except Computer,direct
17-2072.01,17-2072,Radio Frequency Identification Device Specialists,2.5,0.025,Electronics Engineers; Except Computer,direct
17-2081.00,17-2081,Environmental Engineers,1.8,0.018,Environmental Engineers,direct
17-2111.00,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2.8,0.028,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,direct
17-2111.02,17-2111,Fire-Prevention and Protection Engineers,2.8,0.028,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,direct
17-2112.00,17-2112,Industrial Engineers,2.9,0.029,Industrial Engineers,direct
17-2112.01,17-2112,Human Factors Engineers and Ergonomists,2.9,0.029,Industrial Engineers,direct
17-2112.02,17-2112,Validation Engineers,2.9,0.029,Industrial Engineers,direct
17-2112.03,17-2112,Manufacturing Engineers,2.9,0.029,Industrial Engineers,direct
17-2121.00,17-2121,Marine Engineers and Naval Architects,1.0,0.01,Marine Engineers and Naval Architects,direct
17-2131.00,17-2131,Materials Engineers,2.1,0.021,Materials Engineers,direct
17-2141.00,17-2141,Mechanical Engineers,1.1,0.011,Mechanical Engineers,direct
17-2141.01,17-2141,Fuel Cell Engineers,1.1,0.011,Mechanical Engineers,direct
17-2141.02,17-2141,Automotive Engineers,1.1,0.011,Mechanical Engineers,direct
17-2151.00,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",14.0,0.14,Mining and Geological Engineers; Including Mining Safety Engineers,direct
17-2161.00,17-2161,Nuclear Engineers,7.0,0.07,Nuclear Engineers,direct
17-2171.00,17-2171,Petroleum Engineers,16.0,0.16,Petroleum Engineers,direct
17-2199.00,17-2199,"Engineers, All Other",1.4,0.014,Engineers; All Other,direct
17-2199.03,17-2199,"Energy Engineers, Except Wind and Solar",1.4,0.014,Engineers; All Other,direct
17-2199.05,17-2199,Mechatronics Engineers,1.4,0.014,Engineers; All Other,direct
17-2199.06,17-2199,Microsystems Engineers,1.4,0.014,Engineers; All Other,direct
17-2199.07,17-2199,Photonics Engineers,1.4,0.014,Engineers; All Other,direct
17-2199.08,17-2199,Robotics Engineers,1.4,0.014,Engineers; All Other,direct
17-2199.09,17-2199,Nanosystems Engineers,1.4,0.014,Engineers; All Other,direct
17-2199.10,17-2199,Wind Energy Engineers,1.4,0.014,Engineers; All Other,direct
17-2199.11,17-2199,Solar Energy Systems Engineers,1.4,0.014,Engineers; All Other,direct
17-3011.00,17-3011,Architectural and Civil Drafters,52.0,0.52,Architectural and Civil Drafters,direct
17-3012.00,17-3012,Electrical and Electronics Drafters,81.0,0.81,Electrical and Electronics Drafters,direct
17-3013.00,17-3013,Mechanical Drafters,68.0,0.68,Mechanical Drafters,direct
17-3019.00,17-3019,"Drafters, All Other",56.25,0.5625,[Group avg: 17-30],group_avg
17-3021.00,17-3021,Aerospace Engineering and Operations Technologists and Technicians,48.0,0.48,Aerospace Engineering and Operations Technicians,direct
17-3022.00,17-3022,Civil Engineering Technologists and Technicians,75.0,0.75,Civil Engineering Technicians,direct
17-3023.00,17-3023,Electrical and Electronic Engineering Technologists and Technicians,84.0,0.84,Electrical and Electronics Engineering Technicians,direct
17-3024.00,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,81.0,0.81,Electro-Mechanical Technicians,direct
17-3024.01,17-3024,Robotics Technicians,81.0,0.81,Electro-Mechanical Technicians,direct
17-3025.00,17-3025,Environmental Engineering Technologists and Technicians,25.0,0.25,Environmental Engineering Technicians,direct
17-3026.00,17-3026,Industrial Engineering Technologists and Technicians,3.0,0.03,Industrial Engineering Technicians,direct
17-3026.01,17-3026,Nanotechnology Engineering Technologists and Technicians,3.0,0.03,Industrial Engineering Technicians,direct
17-3027.00,17-3027,Mechanical Engineering Technologists and Technicians,38.0,0.38,Mechanical Engineering Technicians,direct
17-3027.01,17-3027,Automotive Engineering Technicians,38.0,0.38,Mechanical Engineering Technicians,direct
17-3028.00,17-3028,Calibration Technologists and Technicians,56.25,0.5625,[Group avg: 17-30],group_avg
17-3029.00,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",24.0,0.24,Engineering Technicians; Except Drafters; All Other,direct
17-3029.01,17-3029,Non-Destructive Testing Specialists,24.0,0.24,Engineering Technicians; Except Drafters; All Other,direct
17-3029.08,17-3029,Photonics Technicians,24.0,0.24,Engineering Technicians; Except Drafters; All Other,direct
17-3031.00,17-3031,Surveying and Mapping Technicians,96.0,0.96,Surveying and Mapping Technicians,direct
19-1011.00,19-1011,Animal Scientists,6.1,0.061,Animal Scientists,direct
19-1012.00,19-1012,Food Scientists and Technologists,7.7,0.077,Food Scientists and Technologists,direct
19-1013.00,19-1013,Soil and Plant Scientists,2.1,0.021,Soil and Plant Scientists,direct
19-1021.00,19-1021,Biochemists and Biophysicists,2.7,0.027,Biochemists and Biophysicists,direct
19-1022.00,19-1022,Microbiologists,1.2,0.012,Microbiologists,direct
19-1023.00,19-1023,Zoologists and Wildlife Biologists,30.0,0.3,Zoologists and Wildlife Biologists,direct
19-1029.00,19-1029,"Biological Scientists, All Other",1.5,0.015,Biological Scientists; All Other,direct
19-1029.01,19-1029,Bioinformatics Scientists,1.5,0.015,Biological Scientists; All Other,direct
19-1029.02,19-1029,Molecular and Cellular Biologists,1.5,0.015,Biological Scientists; All Other,direct
19-1029.03,19-1029,Geneticists,1.5,0.015,Biological Scientists; All Other,direct
19-1029.04,19-1029,Biologists,1.5,0.015,Biological Scientists; All Other,direct
19-1031.00,19-1031,Conservation Scientists,1.6,0.016,Conservation Scientists,direct
19-1031.02,19-1031,Range Managers,1.6,0.016,Conservation Scientists,direct
19-1031.03,19-1031,Park Naturalists,1.6,0.016,Conservation Scientists,direct
19-1032.00,19-1032,Foresters,0.81,0.0081,Foresters,direct
19-1041.00,19-1041,Epidemiologists,20.0,0.2,Epidemiologists,direct
19-1042.00,19-1042,"Medical Scientists, Except Epidemiologists",0.45,0.0045,Medical Scientists; Except Epidemiologists,direct
19-1099.00,19-1099,"Life Scientists, All Other",6.741818181818183,0.06741818181818184,[Group avg: 19-10],group_avg
19-2011.00,19-2011,Astronomers,4.1,0.041,Astronomers,direct
19-2012.00,19-2012,Physicists,10.0,0.1,Physicists,direct
19-2021.00,19-2021,Atmospheric and Space Scientists,67.0,0.67,Atmospheric and Space Scientists,direct
19-2031.00,19-2031,Chemists,10.0,0.1,Chemists,direct
19-2032.00,19-2032,Materials Scientists,2.1,0.021,Materials Scientists,direct
19-2041.00,19-2041,"Environmental Scientists and Specialists, Including Health",3.3,0.033,Environmental Scientists and Specialists; Including Health,direct
19-2041.01,19-2041,Climate Change Policy Analysts,3.3,0.033,Environmental Scientists and Specialists; Including Health,direct
19-2041.02,19-2041,Environmental Restoration Planners,3.3,0.033,Environmental Scientists and Specialists; Including Health,direct
19-2041.03,19-2041,Industrial Ecologists,3.3,0.033,Environmental Scientists and Specialists; Including Health,direct
19-2042.00,19-2042,"Geoscientists, Except Hydrologists and Geographers",63.0,0.63,Geoscientists; Except Hydrologists and Geographers,direct
19-2043.00,19-2043,Hydrologists,1.4,0.014,Hydrologists,direct
19-2099.00,19-2099,"Physical Scientists, All Other",43.0,0.43,Physical Scientists; All Other,direct
19-2099.01,19-2099,Remote Sensing Scientists and Technologists,43.0,0.43,Physical Scientists; All Other,direct
19-3011.00,19-3011,Economists,43.0,0.43,Economists,direct
19-3011.01,19-3011,Environmental Economists,43.0,0.43,Economists,direct
19-3022.00,19-3022,Survey Researchers,23.0,0.23,Survey Researchers,direct
19-3032.00,19-3032,Industrial-Organizational Psychologists,1.2,0.012,Industrial-Organizational Psychologists,direct
19-3033.00,19-3033,Clinical and Counseling Psychologists,13.722500000000002,0.137225,[Group avg: 19-30],group_avg
19-3034.00,19-3034,School Psychologists,13.722500000000002,0.137225,[Group avg: 19-30],group_avg
19-3039.00,19-3039,"Psychologists, All Other",0.43,0.0043,Psychologists; All Other,direct
19-3039.02,19-3039,Neuropsychologists,0.43,0.0043,Psychologists; All Other,direct
19-3039.03,19-3039,Clinical Neuropsychologists,0.43,0.0043,Psychologists; All Other,direct
19-3041.00,19-3041,Sociologists,5.9,0.059,Sociologists,direct
19-3051.00,19-3051,Urban and Regional Planners,13.0,0.13,Urban and Regional Planners,direct
19-3091.00,19-3091,Anthropologists and Archeologists,0.77,0.0077,Anthropologists and Archeologists,direct
19-3092.00,19-3092,Geographers,25.0,0.25,Geographers,direct
19-3093.00,19-3093,Historians,44.0,0.44,Historians,direct
19-3094.00,19-3094,Political Scientists,3.9,0.039,Political Scientists,direct
19-3099.00,19-3099,"Social Scientists and Related Workers, All Other",4.0,0.04,Social Scientists and Related Workers; All Other,direct
19-3099.01,19-3099,Transportation Planners,4.0,0.04,Social Scientists and Related Workers; All Other,direct
19-4012.00,19-4012,Agricultural Technicians,60.595000000000006,0.6059500000000001,[Group avg: 19-40],group_avg
19-4012.01,19-4012,Precision Agriculture Technicians,60.595000000000006,0.6059500000000001,[Group avg: 19-40],group_avg
19-4013.00,19-4013,Food Science Technicians,60.595000000000006,0.6059500000000001,[Group avg: 19-40],group_avg
19-4021.00,19-4021,Biological Technicians,30.0,0.3,Biological Technicians,direct
19-4031.00,19-4031,Chemical Technicians,57.0,0.57,Chemical Technicians,direct
19-4042.00,19-4042,"Environmental Science and Protection Technicians, Including Health",60.595000000000006,0.6059500000000001,[Group avg: 19-40],group_avg
19-4043.00,19-4043,"Geological Technicians, Except Hydrologic Technicians",60.595000000000006,0.6059500000000001,[Group avg: 19-40],group_avg
19-4044.00,19-4044,Hydrologic Technicians,60.595000000000006,0.6059500000000001,[Group avg: 19-40],group_avg
19-4051.00,19-4051,Nuclear Technicians,85.0,0.85,Nuclear Technicians,direct
19-4051.02,19-4051,Nuclear Monitoring Technicians,85.0,0.85,Nuclear Technicians,direct
19-4061.00,19-4061,Social Science Research Assistants,65.0,0.65,Social Science Research Assistants,direct
19-4071.00,19-4071,Forest and Conservation Technicians,60.595000000000006,0.6059500000000001,[Group avg: 19-40],group_avg
19-4092.00,19-4092,Forensic Science Technicians,0.95,0.0095,Forensic Science Technicians,direct
19-4099.00,19-4099,"Life, Physical, and Social Science Technicians, All Other",61.0,0.61,Life; Physical; and Social Science Technicians; All Other,direct
19-4099.01,19-4099,Quality Control Analysts,61.0,0.61,Life; Physical; and Social Science Technicians; All Other,direct
19-4099.03,19-4099,Remote Sensing Technicians,61.0,0.61,Life; Physical; and Social Science Technicians; All Other,direct
19-5011.00,19-5011,Occupational Health and Safety Specialists,24.968571428571426,0.24968571428571426,[Major group avg: 19],group_avg
19-5012.00,19-5012,Occupational Health and Safety Technicians,24.968571428571426,0.24968571428571426,[Major group avg: 19],group_avg
21-1011.00,21-1011,Substance Abuse and Behavioral Disorder Counselors,3.3,0.033,Substance Abuse and Behavioral Disorder Counselors,direct
21-1012.00,21-1012,"Educational, Guidance, and Career Counselors and Advisors",0.85,0.0085,Educational; Guidance; School; and Vocational Counselors,direct
21-1013.00,21-1013,Marriage and Family Therapists,1.4,0.014,Marriage and Family Therapists,direct
21-1014.00,21-1014,Mental Health Counselors,0.48,0.0048,Mental Health Counselors,direct
21-1015.00,21-1015,Rehabilitation Counselors,0.94,0.0094,Rehabilitation Counselors,direct
21-1019.00,21-1019,"Counselors, All Other",4.8118181818181816,0.04811818181818182,[Group avg: 21-10],group_avg
21-1021.00,21-1021,"Child, Family, and School Social Workers",2.8,0.028,Child; Family; and School Social Workers,direct
21-1022.00,21-1022,Healthcare Social Workers,0.35,0.0035,Healthcare Social Workers,direct
21-1023.00,21-1023,Mental Health and Substance Abuse Social Workers,0.31,0.0031,Mental Health and Substance Abuse Social Workers,direct
21-1029.00,21-1029,"Social Workers, All Other",4.8118181818181816,0.04811818181818182,[Group avg: 21-10],group_avg
21-1091.00,21-1091,Health Education Specialists,4.5,0.045,Health Educators,direct
21-1092.00,21-1092,Probation Officers and Correctional Treatment Specialists,25.0,0.25,Probation Officers and Correctional Treatment Specialists,direct
21-1093.00,21-1093,Social and Human Service Assistants,13.0,0.13,Social and Human Service Assistants,direct
21-1094.00,21-1094,Community Health Workers,4.8118181818181816,0.04811818181818182,[Group avg: 21-10],group_avg
21-1099.00,21-1099,"Community and Social Service Specialists, All Other",4.8118181818181816,0.04811818181818182,[Group avg: 21-10],group_avg
21-2011.00,21-2011,Clergy,0.81,0.0081,Clergy,direct
21-2021.00,21-2021,"Directors, Religious Activities and Education",2.5,0.025,Directors; Religious Activities and Education,direct
21-2099.00,21-2099,"Religious Workers, All Other",1.655,0.01655,[Group avg: 21-20],group_avg
23-1011.00,23-1011,Lawyers,3.5,0.035,Lawyers,direct
23-1012.00,23-1012,Judicial Law Clerks,41.0,0.41,Judicial Law Clerks,direct
23-1021.00,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",64.0,0.64,Administrative Law Judges; Adjudicators; and Hearing Officers,direct
23-1022.00,23-1022,"Arbitrators, Mediators, and Conciliators",6.0,0.06,Arbitrators; Mediators; and Conciliators,direct
23-1023.00,23-1023,"Judges, Magistrate Judges, and Magistrates",40.0,0.4,Judges; Magistrate Judges; and Magistrates,direct
23-2011.00,23-2011,Paralegals and Legal Assistants,94.0,0.94,Paralegals and Legal Assistants,direct
23-2093.00,23-2093,"Title Examiners, Abstractors, and Searchers",99.0,0.99,Title Examiners; Abstractors; and Searchers,direct
23-2099.00,23-2099,"Legal Support Workers, All Other",81.0,0.81,[Group avg: 23-20],group_avg
25-1011.00,25-1011,"Business Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1021.00,25-1021,"Computer Science Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1022.00,25-1022,"Mathematical Science Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1031.00,25-1031,"Architecture Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1032.00,25-1032,"Engineering Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1041.00,25-1041,"Agricultural Sciences Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1042.00,25-1042,"Biological Science Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1043.00,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1051.00,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1052.00,25-1052,"Chemistry Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1053.00,25-1053,"Environmental Science Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1054.00,25-1054,"Physics Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1061.00,25-1061,"Anthropology and Archeology Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1062.00,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1063.00,25-1063,"Economics Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1064.00,25-1064,"Geography Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1065.00,25-1065,"Political Science Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1066.00,25-1066,"Psychology Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1067.00,25-1067,"Sociology Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1069.00,25-1069,"Social Sciences Teachers, Postsecondary, All Other",3.2,0.032,[Group avg: 25-10],group_avg
25-1071.00,25-1071,"Health Specialties Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1072.00,25-1072,"Nursing Instructors and Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1081.00,25-1081,"Education Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1082.00,25-1082,"Library Science Teachers, Postsecondary",3.2,0.032,[Group avg: 25-10],group_avg
25-1111.00,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1112.00,25-1112,"Law Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1113.00,25-1113,"Social Work Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1121.00,25-1121,"Art, Drama, and Music Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1122.00,25-1122,"Communications Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1123.00,25-1123,"English Language and Literature Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1124.00,25-1124,"Foreign Language and Literature Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1125.00,25-1125,"History Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1126.00,25-1126,"Philosophy and Religion Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1192.00,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1193.00,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1194.00,25-1194,"Career/Technical Education Teachers, Postsecondary",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-1199.00,25-1199,"Postsecondary Teachers, All Other",22.509545454545457,0.22509545454545457,[Major group avg: 25],group_avg
25-2011.00,25-2011,"Preschool Teachers, Except Special Education",0.74,0.0074,Preschool Teachers; Except Special Education,direct
25-2012.00,25-2012,"Kindergarten Teachers, Except Special Education",15.0,0.15,Kindergarten Teachers; Except Special Education,direct
25-2021.00,25-2021,"Elementary School Teachers, Except Special Education",0.44,0.0044,Elementary School Teachers; Except Special Education,direct
25-2022.00,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",17.0,0.17,Middle School Teachers; Except Special and Career/Technical Education,direct
25-2023.00,25-2023,"Career/Technical Education Teachers, Middle School",26.0,0.26,Career/Technical Education Teachers; Middle School,direct
25-2031.00,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.78,0.0078,Secondary School Teachers; Except Special and Career/Technical Education,direct
25-2032.00,25-2032,"Career/Technical Education Teachers, Secondary School",0.88,0.0088,Career/Technical Education Teachers; Secondary School,direct
25-2051.00,25-2051,"Special Education Teachers, Preschool",7.023333333333333,0.07023333333333333,[Group avg: 25-20],group_avg
25-2055.00,25-2055,"Special Education Teachers, Kindergarten",7.023333333333333,0.07023333333333333,[Group avg: 25-20],group_avg
25-2056.00,25-2056,"Special Education Teachers, Elementary School",7.023333333333333,0.07023333333333333,[Group avg: 25-20],group_avg
25-2057.00,25-2057,"Special Education Teachers, Middle School",7.023333333333333,0.07023333333333333,[Group avg: 25-20],group_avg
25-2058.00,25-2058,"Special Education Teachers, Secondary School",7.023333333333333,0.07023333333333333,[Group avg: 25-20],group_avg
25-2059.00,25-2059,"Special Education Teachers, All Other",7.023333333333333,0.07023333333333333,[Group avg: 25-20],group_avg
25-2059.01,25-2059,Adapted Physical Education Specialists,7.023333333333333,0.07023333333333333,[Group avg: 25-20],group_avg
25-3011.00,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",19.0,0.19,Adult Basic and Secondary Education and Literacy Teachers and Instructors,direct
25-3021.00,25-3021,Self-Enrichment Teachers,13.0,0.13,Self-Enrichment Education Teachers,direct
25-3031.00,25-3031,"Substitute Teachers, Short-Term",16.0,0.16,[Group avg: 25-30],group_avg
25-3041.00,25-3041,Tutors,16.0,0.16,[Group avg: 25-30],group_avg
25-3099.00,25-3099,"Teachers and Instructors, All Other",16.0,0.16,[Group avg: 25-30],group_avg
25-4011.00,25-4011,Archivists,76.0,0.76,Archivists,direct
25-4012.00,25-4012,Curators,0.68,0.0068,Curators,direct
25-4013.00,25-4013,Museum Technicians and Conservators,59.0,0.59,Museum Technicians and Conservators,direct
25-4022.00,25-4022,Librarians and Media Collections Specialists,59.936,0.59936,[Group avg: 25-40],group_avg
25-4031.00,25-4031,Library Technicians,99.0,0.99,Library Technicians,direct
25-9021.00,25-9021,Farm and Home Management Educators,0.75,0.0075,Farm and Home Management Advisors,direct
25-9031.00,25-9031,Instructional Coordinators,0.42,0.0042,Instructional Coordinators,direct
25-9042.00,25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",24.0425,0.240425,[Group avg: 25-90],group_avg
25-9043.00,25-9043,"Teaching Assistants, Special Education",24.0425,0.240425,[Group avg: 25-90],group_avg
25-9044.00,25-9044,"Teaching Assistants, Postsecondary",24.0425,0.240425,[Group avg: 25-90],group_avg
