ONET_SOC_Code,Base_SOC,ONET_Title,FO_Score,FO_Probability,FO_Occupation,Mapping_Method
39-9011.01,39-9011,Nannies,8.4,0.084,Childcare Workers,direct
39-9031.00,39-9031,Exercise Trainers and Group Fitness Instructors,8.5,0.085,Fitness Trainers and Aerobics Instructors,direct
39-9032.00,39-9032,Recreation Workers,0.61,0.0061,Recreation Workers,direct
39-9041.00,39-9041,Residential Advisors,6.4,0.064,Residential Advisors,direct
39-9099.00,39-9099,"Personal Care and Service Workers, All Other",19.582,0.19582,[Group avg: 39-90],group_avg
41-1011.00,41-1011,First-Line Supervisors of Retail Sales Workers,28.0,0.28,First-Line Supervisors of Retail Sales Workers,direct
41-1012.00,41-1012,First-Line Supervisors of Non-Retail Sales Workers,7.5,0.075,First-Line Supervisors of Non-Retail Sales Workers,direct
41-2011.00,41-2011,Cashiers,97.0,0.97,Cashiers,direct
41-2012.00,41-2012,Gambling Change Persons and Booth Cashiers,83.0,0.83,Gaming Change Persons and Booth Cashiers,direct
41-2021.00,41-2021,Counter and Rental Clerks,97.0,0.97,Counter and Rental Clerks,direct
41-2022.00,41-2022,Parts Salespersons,98.0,0.98,Parts Salespersons,direct
41-2031.00,41-2031,Retail Salespersons,92.0,0.92,Retail Salespersons,direct
41-3011.00,41-3011,Advertising Sales Agents,54.0,0.54,Advertising Sales Agents,direct
41-3021.00,41-3021,Insurance Sales Agents,92.0,0.92,Insurance Sales Agents,direct
41-3031.00,41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.6,0.016,Securities; Commodities; and Financial Services Sales Agents,direct
41-3041.00,41-3041,Travel Agents,9.9,0.099,Travel Agents,direct
41-3091.00,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",39.375,0.39375,[Group avg: 41-30],group_avg
41-4011.00,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",25.0,0.25,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,direct
41-4011.07,41-4011,Solar Sales Representatives and Assessors,25.0,0.25,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,direct
41-4012.00,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",85.0,0.85,Sales Representatives; Wholesale and Manufacturing; Except Technical and Scientific Products,direct
41-9011.00,41-9011,Demonstrators and Product Promoters,51.0,0.51,Demonstrators and Product Promoters,direct
41-9012.00,41-9012,Models,98.0,0.98,Models,direct
41-9021.00,41-9021,Real Estate Brokers,97.0,0.97,Real Estate Brokers,direct
41-9022.00,41-9022,Real Estate Sales Agents,86.0,0.86,Real Estate Sales Agents,direct
41-9031.00,41-9031,Sales Engineers,0.41,0.0041,Sales Engineers,direct
41-9041.00,41-9041,Telemarketers,99.0,0.99,Telemarketers,direct
41-9091.00,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",94.0,0.94,Door-to-Door Sales Workers; News and Street Vendors; and Related Workers,direct
41-9099.00,41-9099,"Sales and Related Workers, All Other",75.05857142857144,0.7505857142857144,[Group avg: 41-90],group_avg
43-1011.00,43-1011,First-Line Supervisors of Office and Administrative Support Workers,1.4,0.014,First-Line Supervisors of Office and Administrative Support Workers,direct
43-2011.00,43-2011,"Switchboard Operators, Including Answering Service",96.0,0.96,Switchboard Operators; Including Answering Service,direct
43-2021.00,43-2021,Telephone Operators,97.0,0.97,Telephone Operators,direct
43-2099.00,43-2099,"Communications Equipment Operators, All Other",96.5,0.965,[Group avg: 43-20],group_avg
43-3011.00,43-3011,Bill and Account Collectors,95.0,0.95,Bill and Account Collectors,direct
43-3021.00,43-3021,Billing and Posting Clerks,96.0,0.96,Billing and Posting Clerks,direct
43-3031.00,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",98.0,0.98,Bookkeeping; Accounting; and Auditing Clerks,direct
43-3041.00,43-3041,Gambling Cage Workers,39.0,0.39,Gaming Cage Workers,direct
43-3051.00,43-3051,Payroll and Timekeeping Clerks,97.0,0.97,Payroll and Timekeeping Clerks,direct
43-3061.00,43-3061,Procurement Clerks,98.0,0.98,Procurement Clerks,direct
43-3071.00,43-3071,Tellers,98.0,0.98,Tellers,direct
43-3099.00,43-3099,"Financial Clerks, All Other",88.71428571428571,0.8871428571428571,[Group avg: 43-30],group_avg
43-4011.00,43-4011,Brokerage Clerks,98.0,0.98,Brokerage Clerks,direct
43-4021.00,43-4021,Correspondence Clerks,86.0,0.86,Correspondence Clerks,direct
43-4031.00,43-4031,"Court, Municipal, and License Clerks",46.0,0.46,Court; Municipal; and License Clerks,direct
43-4041.00,43-4041,"Credit Authorizers, Checkers, and Clerks",97.0,0.97,Credit Authorizers; Checkers; and Clerks,direct
43-4051.00,43-4051,Customer Service Representatives,55.0,0.55,Customer Service Representatives,direct
43-4061.00,43-4061,"Eligibility Interviewers, Government Programs",70.0,0.7,Eligibility Interviewers; Government Programs,direct
43-4071.00,43-4071,File Clerks,97.0,0.97,File Clerks,direct
43-4081.00,43-4081,"Hotel, Motel, and Resort Desk Clerks",94.0,0.94,Hotel; Motel; and Resort Desk Clerks,direct
43-4111.00,43-4111,"Interviewers, Except Eligibility and Loan",94.0,0.94,Interviewers; Except Eligibility and Loan,direct
43-4121.00,43-4121,"Library Assistants, Clerical",95.0,0.95,Library Assistants; Clerical,direct
