SOC_Code,Occupation,Probability,FO_Score,Original_SOC,Match_Method
31-9092,Medical Assistants,0.3,30.0,31-9092,direct
31-9093,Medical Equipment Preparers,0.78,78.0,31-9093,direct
31-9094,Medical Transcriptionists,0.89,89.0,31-9094,direct
31-9095,Pharmacy Aides,0.72,72.0,31-9095,direct
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.86,86.0,31-9096,direct
31-9799,Healthcare Support Workers; All Other,0.63,63.0,31-9799,direct
33-1011,First-Line Supervisors of Correctional Officers,0.025,2.5,33-1011,direct
33-1012,First-Line Supervisors of Police and Detectives,0.0044,0.44,33-1012,direct
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,0.36,33-1021,direct
33-2011,Firefighters,0.17,17.0,33-2011,direct
33-2021,Fire Inspectors and Investigators,0.48,48.0,33-2021,direct
33-2022,Forest Fire Inspectors and Prevention Specialists,0.048,4.8,33-2022,direct
33-3011,Bailiffs,0.36,36.0,33-3011,direct
33-3012,Correctional Officers and Jailers,0.6,60.0,33-3012,direct
33-3021,Detectives and Criminal Investigators,0.34,34.0,33-3021,direct
33-3031,Fish and Game Wardens,0.08,8.0,33-3031,direct
33-3041,Parking Enforcement Workers,0.84,84.0,33-3041,direct
33-3051,Police and Sheriffs Patrol Officers,0.098,9.8,33-3051,direct
33-3052,Transit and Railroad Police,0.57,57.0,33-3052,direct
33-9011,Animal Control Workers,0.21,21.0,33-9011,direct
33-9021,Private Detectives and Investigators,0.31,31.0,33-9021,direct
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.95,95.0,33-9031,direct
33-9032,Security Guards,0.84,84.0,33-9032,direct
33-9091,Crossing Guards,0.49,49.0,33-9091,direct
33-9092,Lifeguards; Ski Patrol; and Other Recreational Protective Service Workers,0.67,67.0,33-9092,direct
35-1011,Chefs and Head Cooks,0.1,10.0,35-1011,direct
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.63,63.0,35-1012,direct
35-2011,Cooks; Fast Food,0.81,81.0,35-2011,direct
35-2012,Cooks; Institution and Cafeteria,0.83,83.0,35-2012,direct
35-2013,Cooks; Private Household,0.3,30.0,35-2013,direct
35-2014,Cooks; Restaurant,0.96,96.0,35-2014,direct
35-2015,Cooks; Short Order,0.94,94.0,35-2015,direct
35-2021,Food Preparation Workers,0.87,87.0,35-2021,direct
35-3011,Bartenders,0.77,77.0,35-3011,direct
35-3021,Combined Food Preparation and Serving Workers; Including Fast Food,0.92,92.0,35-3021,direct
35-3022,Counter Attendants; Cafeteria; Food Concession; and Coffee Shop,0.96,96.0,35-3022,direct
35-3031,Waiters and Waitresses,0.94,94.0,35-3031,direct
35-3041,Food Servers; Nonrestaurant,0.86,86.0,35-3041,direct
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0.91,91.0,35-9011,direct
35-9021,Dishwashers,0.77,77.0,35-9021,direct
35-9031,Hosts and Hostesses; Restaurant; Lounge; and Coffee Shop,0.97,97.0,35-9031,direct
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,94.0,37-1011,direct
37-1012,First-Line Supervisors of Landscaping; Lawn Service; and Groundskeeping Workers,0.57,57.0,37-1012,direct
37-2011,Janitors and Cleaners; Except Maids and Housekeeping Cleaners,0.66,66.0,37-2011,direct
37-2012,Maids and Housekeeping Cleaners,0.69,69.0,37-2012,direct
37-2021,Pest Control Workers,0.66,66.0,37-2021,direct
37-3011,Landscaping and Groundskeeping Workers,0.95,95.0,37-3011,direct
37-3012,Pesticide Handlers; Sprayers; and Applicators; Vegetation,0.97,97.0,37-3012,direct
37-3013,Tree Trimmers and Pruners,0.77,77.0,37-3013,direct
39-1011,Gaming Supervisors,0.28,28.0,39-1011,direct
39-1012,Slot Supervisors,0.54,54.0,39-1012,direct
39-1021,First-Line Supervisors of Personal Service Workers,0.076,7.6,39-1021,direct
39-2011,Animal Trainers,0.1,10.0,39-2011,direct
39-2021,Nonfarm Animal Caretakers,0.82,82.0,39-2021,direct
39-3011,Gaming Dealers,0.96,96.0,39-3011,direct
39-3012,Gaming and Sports Book Writers and Runners,0.91,91.0,39-3012,direct
39-3021,Motion Picture Projectionists,0.97,97.0,39-3021,direct
39-3031,Ushers; Lobby Attendants; and Ticket Takers,0.96,96.0,39-3031,direct
39-3091,Amusement and Recreation Attendants,0.72,72.0,39-3091,direct
39-3092,Costume Attendants,0.61,61.0,39-3092,direct
39-3093,Locker Room; Coatroom; and Dressing Room Attendants,0.43,43.0,39-3093,direct
39-4011,Embalmers,0.54,54.0,39-4011,direct
39-4021,Funeral Attendants,0.37,37.0,39-4021,direct
39-4831,Funeral Service Managers; Directors; Morticians; and Undertakers,0.2,20.0,39-4831,direct
39-5011,Barbers,0.8,80.0,39-5011,direct
39-5012,Hairdressers; Hairstylists; and Cosmetologists,0.11,11.0,39-5012,direct
39-5091,Makeup Artists; Theatrical and Performance,0.01,1.0,39-5091,direct
39-5092,Manicurists and Pedicurists,0.95,95.0,39-5092,direct
39-5093,Shampooers,0.79,79.0,39-5093,direct
39-5094,Skincare Specialists,0.29,29.0,39-5094,direct
39-6011,Baggage Porters and Bellhops,0.83,83.0,39-6011,direct
39-6012,Concierges,0.21,21.0,39-6012,direct
39-7011,Tour Guides and Escorts,0.91,91.0,39-7011,direct
39-7012,Travel Guides,0.057,5.7,39-7012,direct
39-9011,Childcare Workers,0.084,8.4,39-9011,direct
39-9021,Personal Care Aides,0.74,74.0,39-9021,direct
39-9031,Fitness Trainers and Aerobics Instructors,0.085,8.5,39-9031,direct
39-9032,Recreation Workers,0.0061,0.61,39-9032,direct
39-9041,Residential Advisors,0.064,6.4,39-9041,direct
41-1011,First-Line Supervisors of Retail Sales Workers,0.28,28.0,41-1011,direct
41-1012,First-Line Supervisors of Non-Retail Sales Workers,0.075,7.5,41-1012,direct
41-2011,Cashiers,0.97,97.0,41-2011,direct
